Id,SalePrice
1461,140150.2506
1462,158004.76
1463,193611.6616
1464,186514.3142
1465,181037.5754
1466,193659.2763
1467,173071.1224
1468,170686.568
1469,181431.7895
1470,125797.0784
1471,189450.4768
1472,106446.1048
1473,110807.6634
1474,139895.3311
1475,119216.1852
1476,311499.6554
1477,264746.4909
1478,279044.018
1479,268356.5766
1480,313736.9403
1481,311492.6341
1482,194165.1747
1483,185019.8844
1484,170153.0791
1485,169292.4537
1486,196381.0661
1487,310542.5135
1488,271363.0148
1489,197176.2648
1490,207805.2943
1491,195654.7918
1492,114627.2602
1493,173850.1564
1494,305690.7962
1495,307170.5561
1496,217419.6755
1497,197503.5006
1498,167701.1201
1499,167701.1201
1500,167701.1201
1501,182206.5949
1502,167529.93
1503,224874.7311
1504,213360.387
1505,223171.8987
1506,206212.7872
1507,267660.7076
1508,257146.0619
1509,165658.2015
1510,153882.0126
1511,153533.8782
1512,180025.6463
1513,164359.6828
1514,194835.9553
1515,214369.4667
1516,157681.6421
1517,142239.8233
1518,171626.1645
1519,209628.7468
1520,139683.2604
1521,151015.395
1522,170625.7989
1523,118453.0192
1524,122469.8031
1525,126852.6277
1526,126806.3349
1527,126178.155
1528,120957.8136
1529,150835.503
1530,162665.8879
1531,176232.3693
1532,117820.3506
1533,157647.82
1534,116757.8949
1535,175573.8673
1536,126593.1188
1537,125412.3773
1538,154941.3997
1539,215227.71
1540,190898.9298
1541,137853.3624
1542,163926.2644
1543,205798.7608
1544,106167.5936
1545,107765.6088
1546,112612.6633
1547,128189.2606
1548,123709.6787
1549,115189.0107
1550,152051.4734
1551,131580.3356
1552,192283.1943
1553,154970.5215
1554,109257.0499
1555,178650.9921
1556,106595.7161
1557,151629.6287
1558,103395.0132
1559,179644.7368
1560,165550.1737
1561,206583.1023
1562,125124.788
1563,119142.3873
1564,159311.396
1565,136883.4032
1566,176465.1937
1567,107486.3866
1568,224936.985
1569,165421.434
1570,117733.533
1571,146527.082
1572,149565.1675
1573,222898.4322
1574,153863.0169
1575,199207.0474
1576,257770.1308
1577,179897.2508
1578,130345.7106
1579,167750.2889
1580,192923.0445
1581,135379.972
1582,126853.8426
1583,312760.0531
1584,234907.2822
1585,166223.6791
1586,104359.3477
1587,108107.0482
1588,151657.7429
1589,113896.7292
1590,136765.4063
1591,119393.7242
1592,138440.8762
1593,116054.4656
1594,193780.2651
1595,154999.0984
1596,218840.1139
1597,205884.8954
1598,190288.3483
1599,167033.8253
1600,174476.0192
1601,103985.4139
1602,118182.3533
1603,107963.6928
1604,235519.1756
1605,279742.8352
1606,155408.534
1607,288008.8003
1608,193135.8214
1609,177139.571
1610,170956.2665
1611,146486.087
1612,203205.7275
1613,206997.1287
1614,125128.3135
1615,108649.8553
1616,106498.7474
1617,110673.7438
1618,123366.1748
1619,128605.6417
1620,244088.9302
1621,165253.255
1622,135462.4124
1623,241301.0505
1624,219320.1503
1625,124280.1417
1626,164065.4571
1627,189841.9693
1628,236088.0288
1629,188571.5269
1630,259776.0917
1631,203199.5441
1632,234802.6596
1633,169062.5889
1634,191369.393
1635,183259.1863
1636,174694.9681
1637,212331.4484
1638,205785.8754
1639,187581.1548
1640,219058.5789
1641,188370.0233
1642,212682.3486
1643,222814.9231
1644,202671.2277
1645,186902.3079
1646,147476.5579
1647,153794.2407
1648,149342.7332
1649,135520.3287
1650,126518.4621
1651,126115.9142
1652,107833.914
1653,107991.5545
1654,155376.7364
1655,140218.0584
1656,139278.3398
1657,156979.5142
1658,137393.8842
1659,122552.4592
1660,142190.3685
1661,313736.9403
1662,308186.9602
1663,313736.9403
1664,313736.9403
1665,283022.5545
1666,285252.6324
1667,266269.5291
1668,283985.2134
1669,259168.7307
1670,286292.5645
1671,239794.0241
1672,313736.9403
1673,289264.4622
1674,271363.0148
1675,190566.7258
1676,185150.0672
1677,188733.6786
1678,313736.9403
1679,299483.4533
1680,262090.1651
1681,206768.9043
1682,279758.0675
1683,194646.6127
1684,169572.1761
1685,179805.0181
1686,176475.2716
1687,169292.4537
1688,190246.2928
1689,187492.3923
1690,181537.2035
1691,166225.5292
1692,234937.0144
1693,169292.4537
1694,182347.633
1695,170956.2665
1696,264231.1315
1697,171318.9624
1698,309522.5794
1699,311492.6341
1700,246687.271
1701,253520.2001
1702,277628.5392
1703,277628.5392
1704,278895.9582
1705,202598.105
1706,312767.0744
1707,203720.8052
1708,196631.9226
1709,261660.6422
1710,225691.8134
1711,259063.2388
1712,244795.6947
1713,276968.9505
1714,227267.137
1715,200096.8978
1716,178001.8814
1717,170417.6651
1718,167996.7873
1719,202071.1347
1720,261081.955
1721,170449.1219
1722,163740.2431
1723,170449.1219
1724,226443.2656
1725,224915.8984
1726,198465.4522
1727,185424.1703
1728,184961.2831
1729,165963.1608
1730,200616.7292
1731,128640.1369
1732,138373.7339
1733,124036.8697
1734,132170.9336
1735,125489.859
1736,119009.256
1737,290138.944
1738,200854.4346
1739,303622.1361
1740,232671.886
1741,179037.7574
1742,182206.5949
1743,173849.0719
1744,208475.9028
1745,192149.6387
1746,200977.9445
1747,268766.0453
1748,209100.5086
1749,155739.2142
1750,149496.9062
1751,214608.0689
1752,121796.1505
1753,173127.2242
1754,217306.0589
1755,155701.9746
1756,123967.6867
1757,120499.6808
1758,158603.5872
1759,174645.0877
1760,161800.3415
1761,155732.2646
1762,197154.0159
1763,167681.8272
1764,121083.9649
1765,189002.1198
1766,166420.4924
1767,199758.2562
1768,143326.1688
1769,159631.0838
1770,130553.9225
1771,148930.3131
1772,155743.7264
1773,149978.5579
